2026/09/24 15:48:14 t=  5s active=501 dials=501 errs=0/0 down=8.3MB/s up=1.0MB/s
2026/09/24 15:48:19 t= 10s active=1001 dials=1001 errs=0/0 down=24.5MB/s up=3.1MB/s
2026/09/24 15:48:24 t= 15s active=1500 dials=1565 errs=0/0 down=39.5MB/s up=5.1MB/s
2026/09/24 15:48:29 t= 20s active=2000 dials=2239 errs=0/0 down=47.5MB/s up=7.1MB/s
2026/09/24 15:48:34 t= 25s active=2000 dials=2555 errs=0/5 down=60.6MB/s up=8.2MB/s
2026/09/24 15:48:39 t= 30s active=2000 dials=3054 errs=0/10 down=58.9MB/s up=8.2MB/s
2026/09/24 15:48:44 t= 35s active=2000 dials=3556 errs=0/11 down=54.7MB/s up=8.2MB/s
2026/09/24 15:48:49 t= 40s active=2000 dials=4104 errs=0/23 down=54.0MB/s up=8.2MB/s
2026/09/24 15:48:54 t= 45s active=2000 dials=4677 errs=0/97 down=46.8MB/s up=8.1MB/s
2026/09/24 15:48:59 t= 50s active=2000 dials=5133 errs=0/102 down=51.0MB/s up=8.2MB/s
2026/09/24 15:49:04 t= 55s active=2000 dials=5645 errs=0/141 down=49.7MB/s up=8.2MB/s
2026/09/24 15:49:09 t= 60s active=2000 dials=6188 errs=0/149 down=57.8MB/s up=8.2MB/s
