2026/09/24 15:49:22 t=  5s active=126 dials=126 errs=0/0 down=2.1MB/s up=0.3MB/s
2026/09/24 15:49:27 t= 10s active=250 dials=250 errs=0/0 down=6.2MB/s up=0.8MB/s
2026/09/24 15:49:32 t= 15s active=375 dials=389 errs=0/0 down=10.2MB/s up=1.3MB/s
2026/09/24 15:49:37 t= 20s active=500 dials=573 errs=0/0 down=14.4MB/s up=1.8MB/s
2026/09/24 15:49:42 t= 25s active=500 dials=649 errs=0/0 down=16.4MB/s up=2.0MB/s
2026/09/24 15:49:47 t= 30s active=500 dials=754 errs=0/0 down=16.4MB/s up=2.0MB/s
2026/09/24 15:49:52 t= 35s active=500 dials=881 errs=0/0 down=16.4MB/s up=2.0MB/s
2026/09/24 15:49:57 t= 40s active=500 dials=1024 errs=0/0 down=16.4MB/s up=2.0MB/s
2026/09/24 15:50:02 t= 45s active=500 dials=1161 errs=0/0 down=16.4MB/s up=2.0MB/s
2026/09/24 15:50:07 t= 50s active=500 dials=1284 errs=0/0 down=16.4MB/s up=2.0MB/s
2026/09/24 15:50:12 t= 55s active=500 dials=1397 errs=0/0 down=16.5MB/s up=2.0MB/s
2026/09/24 15:50:17 t= 60s active=500 dials=1532 errs=0/0 down=16.4MB/s up=2.0MB/s
