2026/09/24 15:27:50 t=  5s active=125 dials=125 errs=0/0 down=2.1MB/s up=0.3MB/s
2026/09/24 15:27:55 t= 10s active=250 dials=250 errs=0/0 down=6.1MB/s up=0.8MB/s
2026/09/24 15:28:00 t= 15s active=374 dials=387 errs=0/0 down=10.2MB/s up=1.3MB/s
2026/09/24 15:28:05 t= 20s active=500 dials=573 errs=0/0 down=14.2MB/s up=1.8MB/s
2026/09/24 15:28:10 t= 25s active=500 dials=649 errs=0/0 down=16.4MB/s up=2.0MB/s
2026/09/24 15:28:15 t= 30s active=500 dials=754 errs=0/0 down=16.4MB/s up=2.0MB/s
2026/09/24 15:28:20 t= 35s active=500 dials=881 errs=0/0 down=16.4MB/s up=2.0MB/s
2026/09/24 15:28:25 t= 40s active=500 dials=1024 errs=0/0 down=16.4MB/s up=2.0MB/s
2026/09/24 15:28:30 t= 45s active=500 dials=1161 errs=0/0 down=16.4MB/s up=2.0MB/s
2026/09/24 15:28:35 t= 50s active=500 dials=1284 errs=0/0 down=16.4MB/s up=2.0MB/s
2026/09/24 15:28:40 t= 55s active=500 dials=1397 errs=0/0 down=16.4MB/s up=2.0MB/s
2026/09/24 15:28:45 t= 60s active=500 dials=1532 errs=0/0 down=16.4MB/s up=2.0MB/s
