File: v2node
Build ID: d53c0cdcdbd00725f4453cd56d1392f670608382
Type: cpu
Time: 2026-09-24 15:12:12 UTC
Duration: 37.01s, Total samples = 39.11s (105.68%)
Showing nodes accounting for 25.33s, 64.77% of 39.11s total
Dropped 536 nodes (cum <= 0.20s)
Showing top 30 nodes out of 204
      flat  flat%   sum%        cum   cum%
     6.69s 17.11% 17.11%      6.69s 17.11%  internal/runtime/syscall/linux.Syscall6
     2.59s  6.62% 23.73%      2.59s  6.62%  crypto/sha1.blockSHANI
     1.55s  3.96% 27.69%      3.36s  8.59%  runtime.tryDeferToSpanScan
     1.39s  3.55% 31.25%      1.39s  3.55%  runtime.spanClass.sizeclass (inline)
     1.25s  3.20% 34.44%      5.54s 14.17%  crypto/internal/fips140/hmac.New[go.shape.interface { BlockSize int; Reset; Size int; Sum []uint8; Write  }]
     0.78s  1.99% 36.44%      0.78s  1.99%  crypto/internal/fips140/aes/gcm.gcmAesInit
     0.73s  1.87% 38.30%      1.42s  3.63%  runtime.(*unwinder).resolveInternal
     0.73s  1.87% 40.17%      0.73s  1.87%  runtime.memclrNoHeapPointers
     0.65s  1.66% 41.83%      0.65s  1.66%  runtime.nextFreeFast (inline)
     0.64s  1.64% 43.47%      0.68s  1.74%  internal/runtime/gc/scan.scanSpanPackedAVX512
     0.63s  1.61% 45.08%      0.63s  1.61%  runtime.memmove
     0.62s  1.59% 46.66%      0.62s  1.59%  runtime.futex
     0.59s  1.51% 48.17%      1.65s  4.22%  runtime.scanblock
     0.58s  1.48% 49.65%      0.76s  1.94%  runtime.gcmarknewobject
     0.53s  1.36% 51.01%      0.63s  1.61%  runtime.step
     0.50s  1.28% 52.29%      0.58s  1.48%  runtime.findObject
     0.50s  1.28% 53.57%      1.46s  3.73%  runtime.pcvalue
     0.47s  1.20% 54.77%      3.54s  9.05%  runtime.mallocgcSmallNoscan
     0.47s  1.20% 55.97%      1.49s  3.81%  runtime.scanObjectsSmall
     0.40s  1.02% 56.99%      1.31s  3.35%  runtime.scanObject
     0.39s     1% 57.99%      3.33s  8.51%  github.com/xtls/xray-core/proxy/shadowsocks.(*Validator).GetWithCache.func1
     0.34s  0.87% 58.86%      0.34s  0.87%  crypto/internal/fips140/aes.encryptBlockAsm
     0.33s  0.84% 59.70%      0.33s  0.84%  internal/runtime/atomic.(*Uint32).CompareAndSwap (inline)
     0.31s  0.79% 60.50%     14.70s 37.59%  github.com/xtls/xray-core/common/buf.copyInternal
     0.31s  0.79% 61.29%      0.67s  1.71%  runtime.scanObjectSmall
     0.29s  0.74% 62.03%      2.48s  6.34%  crypto/sha1.(*digest).Sum
     0.29s  0.74% 62.77%     12.01s 30.71%  runtime.mallocgc
     0.27s  0.69% 63.46%      1.25s  3.20%  runtime.sweepone
     0.26s  0.66% 64.13%      0.26s  0.66%  runtime.(*mspan).base (inline)
     0.25s  0.64% 64.77%      1.77s  4.53%  crypto/sha1.(*digest).checkSum
