2026/09/24 17:34:48 t=  5s active=500 dials=500 errs=0/0 down=8.4MB/s up=1.0MB/s
2026/09/24 17:34:53 t= 10s active=1000 dials=1000 errs=0/0 down=24.7MB/s up=3.0MB/s
2026/09/24 17:34:58 t= 15s active=1500 dials=1565 errs=0/0 down=41.1MB/s up=5.1MB/s
2026/09/24 17:35:03 t= 20s active=2000 dials=2239 errs=0/0 down=57.5MB/s up=7.1MB/s
2026/09/24 17:35:08 t= 25s active=2000 dials=2546 errs=0/0 down=65.6MB/s up=8.2MB/s
2026/09/24 17:35:13 t= 30s active=2000 dials=3031 errs=0/0 down=65.7MB/s up=8.2MB/s
2026/09/24 17:35:18 t= 35s active=2000 dials=3550 errs=0/0 down=65.7MB/s up=8.2MB/s
2026/09/24 17:35:23 t= 40s active=2000 dials=4074 errs=0/0 down=65.7MB/s up=8.2MB/s
2026/09/24 17:35:28 t= 45s active=2000 dials=4598 errs=0/0 down=65.7MB/s up=8.2MB/s
2026/09/24 17:35:33 t= 50s active=2000 dials=5085 errs=0/0 down=65.7MB/s up=8.2MB/s
2026/09/24 17:35:38 t= 55s active=2000 dials=5554 errs=0/0 down=65.7MB/s up=8.2MB/s
2026/09/24 17:35:43 t= 60s active=2000 dials=6077 errs=0/0 down=65.7MB/s up=8.2MB/s
2026/09/24 17:35:48 t= 65s active=2000 dials=6599 errs=0/0 down=65.6MB/s up=8.2MB/s
