2026/09/24 17:05:13 t=  5s active=501 dials=501 errs=0/0 down=8.4MB/s up=1.0MB/s
2026/09/24 17:05:18 t= 10s active=1001 dials=1001 errs=0/0 down=24.8MB/s up=3.1MB/s
2026/09/24 17:05:23 t= 15s active=1501 dials=1566 errs=0/0 down=41.1MB/s up=5.1MB/s
2026/09/24 17:05:28 t= 20s active=2000 dials=2239 errs=0/0 down=57.6MB/s up=7.1MB/s
2026/09/24 17:05:33 t= 25s active=2000 dials=2550 errs=0/0 down=65.6MB/s up=8.2MB/s
2026/09/24 17:05:38 t= 30s active=1999 dials=3044 errs=0/0 down=65.6MB/s up=8.2MB/s
2026/09/24 17:05:43 t= 35s active=2000 dials=3545 errs=0/0 down=65.7MB/s up=8.2MB/s
2026/09/24 17:05:48 t= 40s active=2000 dials=4083 errs=0/0 down=65.7MB/s up=8.2MB/s
2026/09/24 17:05:53 t= 45s active=2000 dials=4579 errs=0/0 down=65.6MB/s up=8.2MB/s
2026/09/24 17:05:58 t= 50s active=2000 dials=5042 errs=0/0 down=65.7MB/s up=8.2MB/s
2026/09/24 17:06:03 t= 55s active=2000 dials=5521 errs=0/0 down=65.7MB/s up=8.2MB/s
2026/09/24 17:06:08 t= 60s active=2000 dials=6061 errs=0/0 down=65.7MB/s up=8.2MB/s
