2026/09/24 17:30:16 t=  5s active=501 dials=501 errs=0/0 down=8.4MB/s up=1.0MB/s
2026/09/24 17:30:21 t= 10s active=1001 dials=1001 errs=0/0 down=24.7MB/s up=3.0MB/s
2026/09/24 17:30:26 t= 15s active=1501 dials=1566 errs=0/0 down=41.1MB/s up=5.1MB/s
2026/09/24 17:30:31 t= 20s active=1999 dials=2238 errs=0/0 down=57.3MB/s up=7.1MB/s
2026/09/24 17:30:36 t= 25s active=2000 dials=2546 errs=0/0 down=65.3MB/s up=8.2MB/s
2026/09/24 17:30:41 t= 30s active=2000 dials=3031 errs=0/0 down=66.1MB/s up=8.2MB/s
2026/09/24 17:30:46 t= 35s active=2000 dials=3550 errs=0/0 down=65.7MB/s up=8.2MB/s
2026/09/24 17:30:51 t= 40s active=1999 dials=4073 errs=0/0 down=65.6MB/s up=8.2MB/s
2026/09/24 17:30:56 t= 45s active=2000 dials=4600 errs=0/0 down=65.1MB/s up=8.2MB/s
2026/09/24 17:31:01 t= 50s active=1997 dials=5083 errs=0/0 down=66.1MB/s up=8.2MB/s
2026/09/24 17:31:06 t= 55s active=2000 dials=5555 errs=0/0 down=65.7MB/s up=8.2MB/s
2026/09/24 17:31:11 t= 60s active=2000 dials=6077 errs=0/0 down=65.6MB/s up=8.2MB/s
