File: v2node
Build ID: 133be3659156a21a9d1bcf344e7ea88a95bba75c
Type: inuse_space
Time: 2026-09-24 17:01:37 UTC
Showing nodes accounting for 77.92MB, 88.12% of 88.42MB total
Showing top 30 nodes out of 208
      flat  flat%   sum%        cum   cum%
   31.75MB 35.90% 35.90%    31.75MB 35.90%  github.com/xtls/xray-core/common/bytespool.init.0.createAllocFunc.func1
       9MB 10.18% 46.09%        9MB 10.18%  runtime.mallocgc
    4.50MB  5.09% 51.18%     4.50MB  5.09%  crypto/internal/fips140/aes/gcm.New
       4MB  4.53% 55.70%        4MB  4.53%  crypto/internal/fips140/aes.New (inline)
    2.51MB  2.84% 58.55%     3.51MB  3.97%  github.com/wyusgw/v2node/limiter.AddLimiter
    2.50MB  2.83% 61.37%     2.50MB  2.83%  github.com/xtls/xray-core/transport/pipe.(*pipe).ReadMultiBuffer
    2.50MB  2.83% 64.20%     2.50MB  2.83%  fmt.Sprintf
    1.54MB  1.74% 65.94%     7.04MB  7.96%  github.com/xtls/xray-core/proxy/vmess/aead.(*AuthIDDecoderHolder).AddUser
    1.50MB  1.70% 67.64%     1.50MB  1.70%  net.newFD
    1.50MB  1.70% 69.34%     1.50MB  1.70%  context.(*cancelCtx).Done
    1.50MB  1.70% 71.03%     1.50MB  1.70%  github.com/xtls/xray-core/common/signal.NewNotifier (inline)
    1.50MB  1.70% 72.73%     1.50MB  1.70%  github.com/xtls/xray-core/common/signal/done.New (inline)
    1.50MB  1.70% 74.43%     3.50MB  3.96%  github.com/xtls/xray-core/common/task.Run
    1.50MB  1.70% 76.12%     1.50MB  1.70%  github.com/xtls/xray-core/transport/pipe.(*pipe).ReadMultiBufferTimeout
    1.03MB  1.16% 77.28%     1.03MB  1.16%  github.com/xtls/xray-core/proxy/vmess/inbound.(*userByEmail).addNoLock
       1MB  1.13% 78.41%        1MB  1.13%  crypto/sha3.NewSHAKE128
       1MB  1.13% 79.55%        1MB  1.13%  context.(*cancelCtx).propagateCancel
       1MB  1.13% 80.68%     6.04MB  6.83%  github.com/xtls/xray-core/common/buf.(*ReadVReader).ReadMultiBuffer
       1MB  1.13% 81.81%     5.50MB  6.22%  github.com/xtls/xray-core/proxy/vmess/aead.NewAuthIDDecoderItem (inline)
    0.54MB  0.62% 82.42%     7.59MB  8.58%  github.com/xtls/xray-core/proxy/vmess.(*TimedUserValidator).Add
    0.51MB  0.58% 83.00%     0.51MB  0.58%  github.com/go-playground/validator/v10.map.init.7
    0.51MB  0.58% 83.58%    12.13MB 13.71%  github.com/wyusgw/v2node/core.(*V2Core).AddUsers
    0.51MB  0.58% 84.16%     0.51MB  0.58%  encoding/xml.map.init.0
    0.50MB  0.57% 84.73%     0.50MB  0.57%  google.golang.org/protobuf/internal/filedesc.(*Message).unmarshalFull
    0.50MB  0.57% 85.30%     0.50MB  0.57%  github.com/xtls/xray-core/common.RegisterConfig
    0.50MB  0.57% 85.86%     0.50MB  0.57%  google.golang.org/protobuf/internal/filedesc.(*File).initDecls
    0.50MB  0.57% 86.43%     0.50MB  0.57%  regexp/syntax.(*compiler).inst
    0.50MB  0.57% 86.99%     0.50MB  0.57%  time.goFunc
    0.50MB  0.57% 87.56%     8.50MB  9.61%  github.com/xtls/xray-core/app/proxyman/inbound.(*tcpWorker).callback
    0.50MB  0.57% 88.12%     0.50MB  0.57%  internal/sync.newIndirectNode[go.shape.interface {},go.shape.interface {}] (inline)
