File: v2node
Build ID: 133be3659156a21a9d1bcf344e7ea88a95bba75c
Type: inuse_space
Time: 2026-09-24 17:02:46 UTC
Showing nodes accounting for 196.19MB, 88.08% of 222.75MB total
Dropped 63 nodes (cum <= 1.11MB)
Showing top 30 nodes out of 146
      flat  flat%   sum%        cum   cum%
  104.31MB 46.83% 46.83%   104.31MB 46.83%  github.com/xtls/xray-core/common/bytespool.init.0.createAllocFunc.func1
   16.17MB  7.26% 54.09%    16.17MB  7.26%  runtime.mallocgc
    6.50MB  2.92% 57.01%     6.50MB  2.92%  crypto/internal/fips140/aes/gcm.New
       5MB  2.24% 59.25%    51.78MB 23.25%  github.com/xtls/xray-core/app/proxyman/inbound.(*tcpWorker).callback
    4.50MB  2.02% 61.27%     4.50MB  2.02%  github.com/xtls/xray-core/transport/pipe.(*pipe).ReadMultiBuffer
    4.50MB  2.02% 63.29%     4.50MB  2.02%  bytes.NewReader (inline)
       4MB  1.80% 65.09%        4MB  1.80%  crypto/internal/fips140/aes.New
       4MB  1.80% 66.88%        6MB  2.69%  github.com/xtls/xray-core/common/task.Run
    3.50MB  1.57% 68.46%        7MB  3.14%  github.com/xtls/xray-core/transport/pipe.New
       3MB  1.35% 69.80%        3MB  1.35%  github.com/xtls/xray-core/common/signal.NewNotifier (inline)
       3MB  1.35% 71.15%     4.50MB  2.02%  context.withCancel (inline)
       3MB  1.35% 72.50%        3MB  1.35%  fmt.Sprintf
    2.70MB  1.21% 73.71%     2.70MB  1.21%  github.com/xtls/xray-core/proxy/vmess/encoding.(*SessionHistory).addIfNotExits
    2.50MB  1.12% 74.83%     2.50MB  1.12%  crypto/sha3.NewSHAKE128
    2.50MB  1.12% 75.95%     2.50MB  1.12%  internal/sync.newIndirectNode[go.shape.interface {},go.shape.interface {}] (inline)
    2.50MB  1.12% 77.08%     2.50MB  1.12%  net.sockaddrToTCP
    2.50MB  1.12% 78.20%       14MB  6.29%  github.com/wyusgw/v2node/core/app/dispatcher.(*DefaultDispatcher).getLink
       2MB   0.9% 79.10%        2MB   0.9%  github.com/xtls/xray-core/common/session.(*Content).SetAttribute
       2MB   0.9% 80.00%        2MB   0.9%  context.(*cancelCtx).propagateCancel
       2MB   0.9% 80.89%        2MB   0.9%  net.newFD
       2MB   0.9% 81.79%        2MB   0.9%  internal/poll.(*FD).Writev
       2MB   0.9% 82.69%        4MB  1.80%  github.com/xtls/xray-core/common/signal.CancelAfterInactivity (inline)
       2MB   0.9% 83.59%        2MB   0.9%  encoding/binary.Read
    1.50MB  0.67% 84.26%     3.50MB  1.57%  github.com/xtls/xray-core/common/buf.(*BufferToBytesWriter).WriteMultiBuffer
    1.50MB  0.67% 84.93%     1.50MB  0.67%  context.WithValue
    1.50MB  0.67% 85.61%     1.50MB  0.67%  internal/sync.newEntryNode[go.shape.interface {},go.shape.interface {}] (inline)
    1.50MB  0.67% 86.28%     1.50MB  0.67%  github.com/wyusgw/v2node/core/app/dispatcher.(*DefaultDispatcher).getLinkManager
    1.50MB  0.67% 86.95%     2.50MB  1.12%  github.com/xtls/xray-core/common/signal.(*ActivityTimer).SetTimeout
    1.50MB  0.67% 87.63%     1.50MB  0.67%  syscall.anyToSockaddr
       1MB  0.45% 88.08%    19.64MB  8.82%  github.com/xtls/xray-core/common/buf.(*ReadVReader).ReadMultiBuffer
