2026/09/24 17:07:29 t=  5s active=501 dials=501 errs=0/0 down=8.4MB/s up=1.0MB/s
2026/09/24 17:07:34 t= 10s active=1001 dials=1001 errs=0/0 down=24.7MB/s up=3.1MB/s
2026/09/24 17:07:39 t= 15s active=1501 dials=1566 errs=0/0 down=40.7MB/s up=5.1MB/s
2026/09/24 17:07:44 t= 20s active=2000 dials=2239 errs=0/0 down=56.7MB/s up=7.1MB/s
2026/09/24 17:07:49 t= 25s active=2000 dials=2546 errs=0/0 down=65.0MB/s up=8.2MB/s
2026/09/24 17:07:54 t= 30s active=1999 dials=3031 errs=0/0 down=64.0MB/s up=8.2MB/s
2026/09/24 17:07:59 t= 35s active=2000 dials=3550 errs=0/0 down=65.3MB/s up=8.2MB/s
2026/09/24 17:08:04 t= 40s active=2000 dials=4074 errs=0/0 down=64.0MB/s up=8.2MB/s
2026/09/24 17:08:09 t= 45s active=2000 dials=4600 errs=0/0 down=64.5MB/s up=8.2MB/s
2026/09/24 17:08:14 t= 50s active=2000 dials=5086 errs=0/0 down=65.2MB/s up=8.2MB/s
2026/09/24 17:08:19 t= 55s active=2000 dials=5555 errs=0/0 down=63.5MB/s up=8.2MB/s
2026/09/24 17:08:24 t= 60s active=2000 dials=6077 errs=0/0 down=65.9MB/s up=8.2MB/s
