protocol,users,cores,mem_mb,rss_mb,rss_anon_mb,heap_inuse_mb,go_sys_mb,goroutines,startup_s,cpu_idle_pct
vless,1000,1,512,61,8,5.6,13.3,12,0.1,0
vless,10000,1,512,79,25,18.5,33.7,12,0.2,0
vless,50000,1,512,137,85,75.5,111.9,12,0.3,0
vless,100000,1,512,221,168,142.9,198.5,12,0.6,0
vmess,1000,1,512,61,10,5.9,17.3,12,0.1,0
vmess,10000,1,512,84,32,18.9,42.0,12,0.2,0
vmess,50000,1,512,175,121,74.9,144.9,12,0.3,0
vmess,100000,1,512,293,240,145.6,272.4,12,0.6,0
trojan,1000,1,512,64,11,6.7,21.4,12,0.1,0
trojan,10000,1,512,82,29,23.0,42.0,12,0.2,0
trojan,50000,1,512,170,117,97.3,170.0,12,0.3,0
trojan,100000,1,512,328,275,196.1,330.9,12,0.6,0
shadowsocks,1000,1,512,61,8,5.4,17.3,15,0.1,0
shadowsocks,10000,1,512,71,18,14.2,33.7,15,0.2,0
shadowsocks,50000,1,512,116,64,52.6,91.3,15,0.3,0
shadowsocks,100000,1,512,173,121,101.1,173.5,15,0.7,0
