protocol,users,cores,mem_mb,conns,target_down_mbps,down_mbps,up_mbps,cpu_pct,rss_avg_mb,rss_peak_mb,rss_anon_mb,cg_peak_mb,heap_inuse_mb,go_sys_mb,goroutines,ttfb_p50_ms,ttfb_p99_ms,dial_err,io_err,oom_kills,loadgen_cpus
vless,10000,1,512,500,131.1,131.3,16.3,23,107,114,63,68,46.9,75.5,1521,0.7,5.5,0,0,0,1-3
vless,10000,1,512,2000,524.3,524.8,65.3,76,201,228,176,189,112.1,196.1,6054,1.3,76.1,0,0,0,1-3
vless,10000,1,512,5000,1310.7,1289.7,162.9,98,398,461,409,444,220.0,428.8,15078,330.0,672.2,0,0,0,1-3
vless,10000,1,1024,500,131.1,131.3,16.3,23,107,114,62,67,46.3,75.5,1519,0.8,6.2,0,0,0,1-3
vless,10000,1,1024,2000,524.3,524.9,65.3,74,200,230,178,192,112.2,196.1,6056,1.3,58.8,0,0,0,1-3
vless,10000,1,1024,5000,1310.7,1291.1,162.9,98,395,463,411,443,210.0,432.6,15142,321.1,581.5,0,0,0,1-3
vless,10000,2,2048,500,131.1,131.3,16.3,28,108,116,64,69,48.0,75.8,1521,0.6,2.9,0,0,0,2-3
vless,10000,2,2048,2000,524.3,524.8,65.2,89,204,231,180,193,109.5,200.2,6052,0.6,17.0,0,0,0,2-3
vless,10000,2,2048,5000,1310.7,1299.2,162.0,165,409,464,415,457,289.0,433.6,15071,52.7,295.2,7,0,0,2-3
vless,10000,3,4096,500,131.1,131.3,16.3,34,108,118,66,71,46.8,79.5,1521,0.6,3.6,0,0,0,3-3
vless,10000,3,4096,2000,524.3,524.2,65.1,109,204,228,177,195,125.8,200.3,6058,1.0,34.8,0,0,0,3-3
vless,10000,3,4096,5000,1310.7,801.7,108.4,163,387,465,414,446,243.5,441.1,14429,3003.9,6208.8,274,1,0,3-3
vmess,10000,1,512,500,131.1,131.3,16.3,38,138,143,91,95,55.2,100.4,3024,5.6,44.1,0,0,0,1-3
vmess,10000,1,512,2000,524.3,519.8,65.3,98,283,290,238,251,156.1,245.9,12052,225.5,573.5,0,0,0,1-3
vmess,10000,1,512,5000,1310.7,0,0,0,0,0,0,512,0,,,1408.0,3265.0,763931,4114,1 (node died),1-3
vmess,10000,1,1024,500,131.1,131.3,16.3,38,137,141,90,94,54.5,96.4,3024,4.9,42.4,0,0,0,1-3
vmess,10000,1,1024,2000,524.3,518.2,65.3,97,282,294,242,255,149.4,250.4,12052,211.9,650.5,0,0,0,1-3
vmess,10000,1,1024,5000,1310.7,83.0,24.4,-37,854,1039,0,1024,0,,,2320.4,7503.2,618057,4990,1 (node died),1-3
vmess,10000,2,2048,500,131.1,131.2,16.3,51,141,146,93,98,61.6,100.7,3020,4.1,28.7,0,0,0,2-3
vmess,10000,2,2048,2000,524.3,521.4,64.9,137,280,288,236,251,143.0,242.1,12032,7.0,218.0,1,0,0,2-3
vmess,10000,2,2048,5000,1310.7,1118.2,148.5,187,640,741,567,718,375.6,695.3,29134,1097.5,3629.2,0,0,0,2-3
vmess,10000,3,4096,500,131.1,131.2,16.3,54,142,146,94,98,59.3,100.9,3024,3.8,15.2,0,0,0,3-3
vmess,10000,3,4096,2000,524.3,522.2,64.9,159,282,292,240,252,145.3,246.3,12027,9.9,178.3,1,0,0,3-3
vmess,10000,3,4096,5000,1310.7,624.2,85.6,203,555,577,525,553,313.0,533.3,28054,3386.1,7087.1,348,68,0,3-3
trojan,10000,1,512,500,131.1,131.3,16.3,27,123,131,80,86,53.2,92.0,3024,0.9,7.7,0,0,0,1-3
trojan,10000,1,512,2000,524.3,524.9,65.3,83,250,297,246,259,156.7,266.2,12056,1.9,146.7,0,0,0,1-3
trojan,10000,1,512,5000,1310.7,650.6,83.7,-32,470,528,0,512,0,,,370.1,759.6,351361,4999,1 (node died),1-3
trojan,10000,1,1024,500,131.1,131.3,16.3,27,122,130,80,86,53.5,96.0,3024,0.9,7.0,0,0,0,1-3
trojan,10000,1,1024,2000,524.3,524.7,65.3,84,252,295,244,257,156.3,262.1,12064,2.1,115.7,0,0,0,1-3
trojan,10000,1,1024,5000,1310.7,1281.0,162.9,98,517,618,566,617,369.5,578.4,30338,442.1,957.7,0,0,0,1-3
trojan,10000,2,2048,500,131.1,131.3,16.3,33,123,133,81,88,62.8,92.3,3024,0.7,3.6,0,0,0,2-3
trojan,10000,2,2048,2000,524.3,524.8,65.2,99,250,279,229,253,183.3,263.2,12056,0.7,10.6,0,0,0,2-3
trojan,10000,2,2048,5000,1310.7,1293.4,162.4,171,537,627,576,607,312.2,587.2,30032,163.0,417.1,0,0,0,2-3
trojan,10000,3,4096,500,131.1,131.3,16.3,41,124,138,86,91,62.7,100.5,3024,0.7,4.1,0,0,0,3-3
trojan,10000,3,4096,2000,524.3,524.2,65.1,129,252,285,233,253,176.1,262.3,12068,1.0,27.6,0,0,0,3-3
trojan,10000,3,4096,5000,1310.7,826.4,108.2,180,501,584,533,583,360.6,552.6,28546,2712.3,4825.5,437,0,0,3-3
shadowsocks,10000,1,512,500,131.1,128.2,16.3,84,148,158,92,120,69.3,120.8,2926,326.8,2407.4,0,0,0,1-3
shadowsocks,10000,1,512,2000,524.3,111.2,63.5,99,192,347,313,484,404.7,475.6,4902,4322.4,13385.6,0,7531,0,1-3
shadowsocks,10000,1,512,5000,1310.7,52.0,67.0,-37,421,499,0,512,0,,,6998.4,16045.2,400564,15051,1 (node died),1-3
shadowsocks,10000,1,1024,500,131.1,127.5,16.3,86,149,162,88,124,64.1,128.6,2895,359.7,2688.5,0,0,0,1-3
shadowsocks,10000,1,1024,2000,524.3,128.9,63.4,99,286,426,245,392,103.4,393.2,4626,6687.7,10769.7,0,7545,0,1-3
shadowsocks,10000,1,1024,5000,1310.7,134.2,157.0,99,341,481,273,440,182.4,448.1,7858,6405.1,11960.4,0,21636,0,1-3
shadowsocks,10000,2,2048,500,131.1,131.1,16.3,89,156,171,104,123,68.7,129.1,3027,24.7,99.4,0,0,0,2-3
shadowsocks,10000,2,2048,2000,524.3,233.4,64.2,196,458,571,437,532,129.1,529.5,6606,7354.6,12121.9,0,2526,0,2-3
shadowsocks,10000,2,2048,5000,1310.7,213.9,157.4,197,467,579,396,541,281.9,535.2,9808,5562.4,13246.3,0,18259,0,2-3
shadowsocks,10000,3,4096,500,131.1,131.1,16.3,96,151,162,106,114,78.3,116.8,3025,18.2,57.5,0,0,0,3-3
