File: v2node
Build ID: ffa910fd831f9f71fd2a576abeff1345d29c2073
Type: inuse_space
Time: 2026-09-24 12:03:36 UTC
Showing nodes accounting for 39958.35kB, 95.12% of 42006.38kB total
Showing top 30 nodes out of 183
      flat  flat%   sum%        cum   cum%
 9804.20kB 23.34% 23.34%  9804.20kB 23.34%  github.com/xtls/xray-core/common/bytespool.init.0.createAllocFunc.func1
 6148.50kB 14.64% 37.98%  6148.50kB 14.64%  crypto/internal/fips140/aes/gcm.New
 2562.70kB  6.10% 44.08%  2562.70kB  6.10%  runtime.mallocgc
 2561.25kB  6.10% 50.17%  2561.25kB  6.10%  crypto/internal/fips140/aes.New
 1536.16kB  3.66% 53.83%  1536.16kB  3.66%  crypto/sha1.New
 1536.12kB  3.66% 57.49%  1536.12kB  3.66%  fmt.Sprintf
 1536.09kB  3.66% 61.15%  2048.10kB  4.88%  github.com/xtls/xray-core/proxy/shadowsocks.(*Account).AsAccount
 1024.11kB  2.44% 63.58%  2048.21kB  4.88%  golang.org/x/crypto/hkdf.Expand
 1024.08kB  2.44% 66.02%  2560.24kB  6.09%  crypto/internal/fips140/hmac.New[go.shape.interface { BlockSize int; Reset; Size int; Sum []uint8; Write  }]
 1024.05kB  2.44% 68.46%  1024.05kB  2.44%  google.golang.org/protobuf/internal/impl.consumeStringValidateUTF8
 1024.04kB  2.44% 70.90%  1024.04kB  2.44%  github.com/wyusgw/v2node/limiter.AddLimiter
  902.59kB  2.15% 73.05%  1414.61kB  3.37%  github.com/wyusgw/v2node/api/v2board.(*Client).GetUserList
  532.26kB  1.27% 74.31%   532.26kB  1.27%  google.golang.org/protobuf/reflect/protoregistry.(*Files).RegisterFile.func2
  525.43kB  1.25% 75.56%   525.43kB  1.25%  github.com/go-playground/validator/v10.map.init.7
  525.43kB  1.25% 76.81%  5645.72kB 13.44%  github.com/wyusgw/v2node/core.(*V2Core).AddUsers
  521.05kB  1.24% 78.05%   521.05kB  1.24%  gvisor.dev/gvisor/pkg/state.Register
  512.69kB  1.22% 79.28%   512.69kB  1.22%  regexp/syntax.(*compiler).inst
  512.56kB  1.22% 80.50%   512.56kB  1.22%  google.golang.org/protobuf/internal/filedesc.(*Message).unmarshalFull
  512.38kB  1.22% 81.72%   512.38kB  1.22%  github.com/xtls/xray-core/proxy/hysteria.init
  512.23kB  1.22% 82.93%   512.23kB  1.22%  google.golang.org/protobuf/internal/filedesc.(*File).initDecls
  512.07kB  1.22% 84.15%   512.07kB  1.22%  google.golang.org/protobuf/internal/impl.fieldInfoForMessage
  512.06kB  1.22% 85.37%  2572.15kB  6.12%  github.com/xtls/xray-core/common/crypto.(*AuthenticationReader).ReadMultiBuffer
  512.06kB  1.22% 86.59%   512.06kB  1.22%  net.newFD
  512.05kB  1.22% 87.81%  2576.09kB  6.13%  github.com/xtls/xray-core/common/buf.(*ReadVReader).ReadMultiBuffer
  512.05kB  1.22% 89.03%   512.05kB  1.22%  github.com/xtls/xray-core/transport/pipe.(*pipe).ReadMultiBuffer
  512.05kB  1.22% 90.25%   512.05kB  1.22%  time.newTimer
  512.02kB  1.22% 91.47%   512.02kB  1.22%  encoding/json/v2.makeString
  512.02kB  1.22% 92.69%   512.02kB  1.22%  github.com/modern-go/reflect2.newUnsafeType
  512.02kB  1.22% 93.91%  3584.17kB  8.53%  github.com/xtls/xray-core/common/protocol.(*User).ToMemoryUser
  512.01kB  1.22% 95.12%   512.01kB  1.22%  github.com/xtls/xray-core/common/buf.newMultiReader
