File: v2node
Build ID: ffa910fd831f9f71fd2a576abeff1345d29c2073
Type: inuse_space
Time: 2026-09-24 11:51:20 UTC
Showing nodes accounting for 80MB, 96.97% of 82.50MB total
Showing top 30 nodes out of 195
      flat  flat%   sum%        cum   cum%
   43.34MB 52.53% 52.53%    43.34MB 52.53%  github.com/xtls/xray-core/common/bytespool.init.0.createAllocFunc.func1
    6.56MB  7.95% 60.48%     6.56MB  7.95%  runtime.mallocgc
       3MB  3.64% 64.12%        3MB  3.64%  internal/sync.newIndirectNode[go.shape.interface {},go.shape.interface {}] (inline)
    2.50MB  3.03% 67.15%     2.50MB  3.03%  internal/sync.newEntryNode[go.shape.interface {},go.shape.interface {}] (inline)
       2MB  2.42% 69.57%        2MB  2.42%  github.com/xtls/xray-core/transport/pipe.(*pipe).ReadMultiBuffer
       2MB  2.42% 71.99%        2MB  2.42%  fmt.Sprintf
    1.50MB  1.82% 73.81%     1.50MB  1.82%  context.(*cancelCtx).propagateCancel
    1.50MB  1.82% 75.63%     2.50MB  3.03%  github.com/xtls/xray-core/common/task.Run
    1.50MB  1.82% 77.45%     9.52MB 11.53%  github.com/xtls/xray-core/proxy/trojan.(*Server).Process
    1.50MB  1.82% 79.27%        2MB  2.42%  github.com/xtls/xray-core/transport/pipe.New
    1.16MB  1.40% 80.67%     1.16MB  1.40%  runtime/pprof.StartCPUProfile
    1.03MB  1.24% 81.91%     1.03MB  1.24%  github.com/go-playground/validator/v10.map.init.7
       1MB  1.21% 83.13%        1MB  1.21%  github.com/xtls/xray-core/common/session.(*Content).SetAttribute
       1MB  1.21% 84.34%        1MB  1.21%  net.newFD
       1MB  1.21% 85.55%        1MB  1.21%  context.(*cancelCtx).Done
       1MB  1.21% 86.76%        2MB  2.42%  context.withCancel (inline)
       1MB  1.21% 87.97%        1MB  1.21%  github.com/xtls/xray-core/common/buf.NewReadVReader
       1MB  1.21% 89.19%        1MB  1.21%  syscall.anyToSockaddr
    0.88MB  1.07% 90.25%     1.38MB  1.67%  github.com/wyusgw/v2node/api/v2board.(*Client).GetUserList
    0.52MB  0.63% 90.88%     0.52MB  0.63%  bytes.growSlice
    0.52MB  0.63% 91.51%     0.52MB  0.63%  google.golang.org/protobuf/reflect/protoregistry.(*Types).register
    0.50MB  0.61% 92.12%     0.50MB  0.61%  google.golang.org/protobuf/internal/filedesc.(*Message).unmarshalFull
    0.50MB  0.61% 92.73%     0.50MB  0.61%  github.com/xtls/xray-core/common/errors.doLog
    0.50MB  0.61% 93.33%     0.50MB  0.61%  github.com/xtls/xray-core/common/signal.NewNotifier (inline)
    0.50MB  0.61% 93.94%     0.50MB  0.61%  github.com/xtls/xray-core/proxy/trojan.hexString
    0.50MB  0.61% 94.55%     0.50MB  0.61%  time.newTimer
    0.50MB  0.61% 95.15%     3.50MB  4.24%  github.com/wyusgw/v2node/limiter.AddLimiter
    0.50MB  0.61% 95.76%     0.50MB  0.61%  github.com/xtls/xray-core/common/buf.NewWriter
    0.50MB  0.61% 96.36%     0.50MB  0.61%  context.WithValue
    0.50MB  0.61% 96.97%     0.50MB  0.61%  encoding/json/v2.makeString
