File: v2node
Build ID: ffa910fd831f9f71fd2a576abeff1345d29c2073
Type: inuse_space
Time: 2026-09-24 11:49:12 UTC
Showing nodes accounting for 78.48MB, 96.91% of 80.98MB total
Showing top 30 nodes out of 134
      flat  flat%   sum%        cum   cum%
   46.86MB 57.87% 57.87%    46.86MB 57.87%  github.com/xtls/xray-core/common/bytespool.init.0.createAllocFunc.func1
       4MB  4.94% 62.82%        4MB  4.94%  runtime.mallocgc
       3MB  3.71% 66.52%        3MB  3.71%  internal/sync.newIndirectNode[go.shape.interface {},go.shape.interface {}] (inline)
       2MB  2.47% 68.99%        3MB  3.71%  github.com/wyusgw/v2node/limiter.AddLimiter
    1.50MB  1.85% 70.85%        2MB  2.47%  context.(*cancelCtx).propagateCancel
    1.50MB  1.85% 72.70%     1.50MB  1.85%  github.com/xtls/xray-core/common/signal/semaphore.New (inline)
    1.50MB  1.85% 74.55%     1.50MB  1.85%  github.com/xtls/xray-core/transport/pipe.New
    1.50MB  1.85% 76.40%     2.50MB  3.09%  github.com/xtls/xray-core/common/signal.CancelAfterInactivity (inline)
    1.50MB  1.85% 78.26%     1.50MB  1.85%  fmt.Sprintf
    1.50MB  1.85% 80.11%     1.50MB  1.85%  internal/sync.newEntryNode[go.shape.interface {},go.shape.interface {}] (inline)
    1.16MB  1.43% 81.54%     1.16MB  1.43%  runtime/pprof.StartCPUProfile
    1.05MB  1.30% 82.84%     1.05MB  1.30%  github.com/xtls/xray-core/transport/pipe.(*pipe).ReadMultiBufferTimeout
       1MB  1.24% 84.07%    11.52MB 14.23%  github.com/xtls/xray-core/app/proxyman/inbound.(*tcpWorker).callback
       1MB  1.24% 85.31%        1MB  1.24%  context.(*cancelCtx).Done
       1MB  1.24% 86.54%     1.50MB  1.85%  context.withCancel (inline)
       1MB  1.24% 87.78%        1MB  1.24%  github.com/xtls/xray-core/common/signal.(*ActivityTimer).SetTimeout
    0.88MB  1.09% 88.86%     0.88MB  1.09%  github.com/wyusgw/v2node/api/v2board.(*Client).GetUserList
    0.51MB  0.63% 89.50%     6.51MB  8.04%  github.com/wyusgw/v2node/core.(*V2Core).AddUsers
    0.50MB  0.62% 90.12%     0.50MB  0.62%  github.com/go-playground/validator/v10.map.init.8
    0.50MB  0.62% 90.74%     0.50MB  0.62%  github.com/wyusgw/v2node/core/app/dispatcher.(*LinkManager).AddLink
    0.50MB  0.62% 91.35%     0.50MB  0.62%  google.golang.org/protobuf/internal/impl.fieldInfoForList
    0.50MB  0.62% 91.97%     0.50MB  0.62%  net.newFD
    0.50MB  0.62% 92.59%     0.50MB  0.62%  github.com/xtls/xray-core/proxy/trojan.hexString (inline)
    0.50MB  0.62% 93.21%     0.50MB  0.62%  github.com/xtls/xray-core/transport/pipe.(*pipe).ReadMultiBuffer
    0.50MB  0.62% 93.83%     0.50MB  0.62%  time.newTimer
    0.50MB  0.62% 94.44%     0.50MB  0.62%  github.com/xtls/xray-core/common/buf.NewReadVReader (inline)
    0.50MB  0.62% 95.06%     0.50MB  0.62%  github.com/xtls/xray-core/common/buf.NewWriter
    0.50MB  0.62% 95.68%     0.50MB  0.62%  context.WithValue
    0.50MB  0.62% 96.30%        3MB  3.71%  github.com/wyusgw/v2node/core/app/dispatcher.(*DefaultDispatcher).getLink
    0.50MB  0.62% 96.91%    45.34MB 55.99%  github.com/xtls/xray-core/common/buf.Copy
